#https://docs.posit.co/connect/news/
version,date,cve
2023.03.0,2023-03-13,CVE-2022-41722
2023.03.0,2023-03-13,CVE-2022-41725
2023.03.0,2023-03-13,CVE-2022-41724
2023.03.0,2023-03-13,CVE-2022-41723
2023.03.0,2023-03-13,CVE-2023-24532
2023.01.0,2023-01-25,CVE-2022-35737
2022.12.0,2022-12-10,CVE-2022-0536
2022.12.0,2022-12-10,CVE-2022-41720
2022.12.0,2022-12-10,CVE-2022-41717
2022.11.0,2022-11-16,CVE-2022-25844
2022.11.0,2022-11-16,CVE-2022-25869
2022.11.0,2022-11-16,CVE-2022-41716
2022.10.0,2022-10-26,CVE-2022-2879
2022.10.0,2022-10-26,CVE-2022-2879
2022.10.0,2022-10-26,CVE-2022-41715
2022.10.0,2022-10-26,CVE-2022-32149
2022.09.0,2022-09-13,CVE-2022-28948
2022.09.0,2022-09-13,CVE-2022-28948
2022.09.0,2022-09-13,CVE-2022-32190
2022.08.1,2022-08-25,-
2022.08.0,2022-08-17,CVE-2022-32189
2022.07.0,2022-07-21,CVE-2022-1705
2022.07.0,2022-07-21,CVE-2022-32148
2022.07.0,2022-07-21,CVE-2022-30631
2022.07.0,2022-07-21,CVE-2022-30633
2022.07.0,2022-07-21,CVE-2022-28131
2022.07.0,2022-07-21,CVE-2022-30635
2022.07.0,2022-07-21,CVE-2022-30632
2022.07.0,2022-07-21,CVE-2022-30630
2022.07.0,2022-07-21,CVE-2022-1962
